iter	Passed	Remaining
1498	75806	2983
1499	75853	2933
1500	75900	2882
1501	75954	2831
1502	76000	2781
1503	76053	2730
1504	76110	2680
1505	76166	2629
1506	76219	2579
1507	76268	2528
1508	76318	2478
1509	76371	2427
1510	76420	2377
1511	76537	2328
1512	76597	2278
1513	76665	2228
1514	76716	2177
1515	76774	2127
1516	76821	2076
1517	76862	2025
1518	76912	1974
1519	76960	1924
1520	77017	1873
1521	77071	1822
1522	77129	1772
1523	77186	1722
1524	77241	1671
1525	77292	1620
1526	77352	1570
1527	77395	1519
1528	77448	1468
1529	77505	1418
1530	77553	1367
1531	77598	1316
1532	77645	1266
1533	77699	1215
1534	77747	1164
1535	77795	1114
1536	77847	1063
1537	77893	1012
1538	77946	962
1539	77997	911
1540	78047	861
1541	78098	810
1542	78151	759
1543	78197	709
1544	78257	658
1545	78304	607
1546	78356	557
1547	78408	506
1548	78458	455
1549	78508	405
1550	78556	354
1551	78608	303
1552	78654	253
1553	78705	202
1554	78752	151
1555	78798	101
1556	78848	50
1557	78898	0
